Date,Hkin Caps
8/14/18,537.6250649
8/15/18,432.9195585
8/16/18,1259.64205
8/17/18,844.1022643
8/18/18,842.3132454
8/19/18,1251.648655
8/20/18,1248.849174
8/21/18,836.6732587
8/22/18,#N/A
8/23/18,832.6813685
8/24/18,1236.958475
8/25/18,828.5002009
8/26/18,826.3377499
8/27/18,824.1269655
8/28/18,1223.932274
8/29/18,819.5592974
8/30/18,1216.984181
8/31/18,416.1904028
9/1/18,812.339212
9/2/18,809.8335617
9/3/18,807.2782549
9/4/18,804.6732375
9/5/18,802.0184928
9/6/18,1190.345373
9/7/18,#VALUE!
9/8/18,#VALUE!
9/9/18,#VALUE!
9/10/18,#VALUE!
9/11/18,785.0497885
9/12/18,1164.63538
9/13/18,1160.095775
9/14/18,1155.484653
9/15/18,394.7197422
9/16/18,#N/A
9/17/18,766.3323122
9/18/18,763.0484766
9/19/18,759.7191712
9/20/18,1126.355587
9/21/18,1121.265155
9/22/18,1116.110188
9/23/18,1110.891899
9/24/18,470.0184501
9/25/18,1100.270604
9/26/18,1094.870416
9/27/18,1089.412545
9/28/18,#N/A
9/29/18,1078.330255
9/30/18,#VALUE!
10/1/18,453.6198186
10/2/18,712.6717368
10/3/18,708.7988774
10/4/18,704.8959368
10/5/18,358.0465428
10/6/18,697.0056363
10/7/18,693.0213136
10/8/18,689.0129831
10/9/18,349.8830379
10/10/18,680.9309085
10/11/18,676.8605865
10/12/18,1001.899507
10/13/18,995.7895364
10/14/18,664.5539621
10/15/18,#N/A
10/16/18,977.3506374
10/17/18,412.8678043
10/18/18,647.9927252
10/19/18,#N/A
10/20/18,952.6209888
10/21/18,635.5276191
10/22/18,631.3753725
10/23/18,627.2281391
10/24/18,623.0881318
10/25/18,391.8580417
10/26/18,915.6232056
10/27/18,909.5102875
10/28/18,903.421658
10/29/18,897.3607703
10/30/18,598.5266808
10/31/18,885.3361423
11/1/18,590.5011482
11/2/18,873.4644199
11/3/18,#N/A
11/4/18,578.6790402
11/5/18,856.0052938
11/6/18,850.2926668
11/7/18,844.6394785
11/8/18,839.0492585
11/9/18,833.5255255
11/10/18,828.0717836
11/11/18,552.4353681
11/12/18,817.3881982
11/13/18,812.1652606
11/14/18,807.0261191
11/15/18,801.9741548
11/16/18,797.0127138
11/17/18,792.1451042
11/18/18,787.3745922
11/19/18,782.7043993
11/20/18,778.1376987
11/21/18,773.6776123
11/22/18,327.056977
11/23/18,513.7557463
11/24/18,760.9674174
11/25/18,756.9638654
11/26/18,753.0816543
11/27/18,749.3235315
11/28/18,500.7304919
11/29/18,498.3789084
11/30/18,#VALUE!
12/1/18,493.9430541
12/2/18,491.8620028
12/3/18,489.874253
12/4/18,726.7059176
12/5/18,#N/A
12/6/18,484.4851429
12/7/18,719.1159413
12/8/18,304.7611477
12/9/18,714.7973437
12/10/18,712.8655643
12/11/18,243.8995753
12/12/18,476.4037148
12/13/18,707.9979405
12/14/18,706.6889165
12/15/18,705.5385189
12/16/18,704.5477025
12/17/18,299.1648466
12/18/18,703.0480693
12/19/18,298.6646014
12/20/18,702.1953905
12/21/18,240.7870112
12/22/18,471.3867372
12/23/18,471.4830516
12/24/18,471.6888889
12/25/18,#N/A
12/26/18,299.0916322
12/27/18,704.3399592
12/28/18,473.6051595
12/29/18,706.4153358
12/30/18,707.6946213
12/31/18,476.1817438
1/1/19,477.2551325
1/2/19,712.4891062
1/3/19,714.4027643
1/4/19,716.472198
1/5/19,718.6960562
1/6/19,306.5430593
1/7/19,248.1916798
1/8/19,726.2790298
1/9/19,729.1049022
1/10/19,#N/A
1/11/19,312.5457396
1/12/19,253.2850543
1/13/19,498.1495181
1/14/19,745.3838537
1/15/19,256.9220039
1/16/19,258.2264579
